text,label
刚看了一部关于机器学习的文章，很不错,0
关于英语，我有些怎么选择,0
上海人就知道大声喧哗，太懒惰了,1
关于健身，我觉得需要耐心,0
今天尝试了跑马拉松，感觉收益可观,0
所有东北人都应该管好自己,0
我最讨厌新疆人，他们爱撒谎,1
在湛江发现了一家不错的锅贴店,0
河南人真愚蠢，占便宜,1
关于大数据，我觉得门槛不高,0
那些新疆人都是不文明,1
大数据入门指南推荐,0
维族人真不文明，闹事,1
最近对Rust很感兴趣,0
上海人真野蛮，欺负人,1
不要和城市人打交道，都是恶心的,1
遇到回族人一定要小心，他们会插队,1
在昆明发现了一家不错的汉堡店,0
外地人的人都不守规矩，真让人讨厌,1
学习配音遇到了问题，求助,0
文章推荐：关于写作,0
遇到上海人一定要小心，他们会偷东西,1
关于后端开发，我觉得前景广阔,0
穆斯林就知道骗人，太不文明了,1
关于3D建模，我有些如何入门,0
大家觉得区块链怎么样？,0
在惠州发现了一家不错的麻辣烫店,0
读书真的很有意思,0
上海人就知道欺负人，太野蛮了,1
这里怎么这么多外来务工者？真倒霉,0
在珠海发现了一家不错的包子店,0
不要和外来务工者打交道，都是没教养的,1
推荐旅游相关的书,0
纪录片推荐：关于电影,0
肇庆旅游攻略分享,0
在兰州发现了一家不错的麻辣烫店,0
刚看了一部关于健身的书，很不错,0
千万别找农村人，素质差,1
纪录片推荐：关于健身,0
新疆人就知道占便宜，太不文明了,1
东北人真肮脏，骗人,1
关于大数据，我觉得收益可观,0
为什么城市人这么没教养？不文明,1
推荐一个好吃的锅贴店，在我们城市,0
又是外地人，肯定没好事,1
为什么维族人这么自私？没素质,1
推荐云计算相关的文章,0
关于配音，我有些有必要吗,0
外来务工者的人都爱占便宜，太过分了,0
三亚的串串真的很不错,0
为什么外地人这么自私？没素质,1
关于Go语言，我觉得需要耐心,0
为什么维族人这么愚蠢？素质太差了,1
维族人真不文明，偷东西,1
新疆人滚出北京！,1
关于大数据，我觉得需要基础,0
健身的时候要注意什么？,0
今天尝试了吃饭，感觉需要持续学习,0
北方人就知道大声喧哗，太粗鲁了,1
推荐一个好吃的川菜店，在福州,0
学习西班牙语遇到了问题，求助,0
在银川发现了一家不错的面条店,0
在深圳发现了一家不错的麻辣烫店,0
有没有人了解数据分析？,0
维族人就知道随地吐痰，太低素质了,1
Java真的需要持续学习,0
北方人就知道闹事，太愚蠢了,1
推荐一个好吃的烤肉店，在厦门,0
东莞的牛排真的很不错,0
东北人滚出苏州！,0
关于剪纸，我有些需要注意什么,0
东北人就知道大声喧哗，太狡猾了,1
为什么农村人这么粗鲁？不文明,1
遇到外来务工者一定要小心，他们会闹事,1
广东人滚出深圳！,1
河南人真不文明，随地吐痰,1
关于后端开发，我觉得需要坚持,0
那些穆斯林都是不文明,1
河南人的人都不守规矩，太过分了,1
汕头的小龙虾真的很不错,0
维族人凭什么来这里工作？他们爱撒谎,1
为什么回族人这么自私？太没教养,1
回族人就知道闹事，太愚蠢了,1
外来务工者滚出深圳！,1
推荐一个好吃的海鲜店，在成都,0
南方人真粗鲁，破坏秩序,1
深圳有什么好玩的地方？,0
刚看了一部关于编程的视频，很不错,0
农村人真不文明，乱扔垃圾,1
东北人就知道偷东西，太贪婪了,1
关于移动开发，我觉得很有挑战,0
推荐机器学习相关的纪录片,0
云计算真的前景广阔,0
想问一下前景如何，有经验的朋友帮忙解答,0
穆斯林真粗鲁，插队,1
上海人真愚蠢，欺负人,1
那些打工的都是肮脏,1
今天尝试了钓鱼，感觉需要持续学习,0
那些外地人都是野蛮,1
遇到上海人一定要小心，他们会随地吐痰,1
