text,label
หากินบลหลังเขาสงสารเขานะแรงงานพม่า,0
มึงมีสิทธิ์อะไรมาเรียกร้องพวก พม่าส้น คนไทยจะอดตายกันแล้ว,1
รู้วันเกิด ไม่รู้วันตาย น่าจะให้พวกพม่านี้ไปทำงานที่ทำเนียบรัฐบาลน่ะ...มันจะได้ติดกันทั้งมำเนียบแล้วมันเอามากักตัวให้เปลืองข้าวเปลืองน้ำทำไมทำไมไส่ส่งกลับประเทศพม่าไป,1
ยุทธศาสตร์ บุตรพรม เอ่อ? ที่ผ่านมามีแต่อเมริกากล่าวหาไม่มีหลักฐาน? และอีกเรื่องรัสเซียปัญหาก็กับเพื่อนบ้านมันก็เหมือนกับทุกประเทศในโลกที่มีปัญหาเพื่อนบ้านตามชายแดนเหมือนไทย?มี พม่า? เขมร? ไม่ใช่ก้าวก่ายข้ามโลกไปทุกชาติในโลกเหมือนอเมริกาน่ะ,0
เราสงสารนะคนพม่าเมียนมา,0
จากใจ...ถึงกับจุกอก!!! สาวพม่า แรงงานในสมุทรสาคร ยกมือไหว้ ร้องไห้สะอื้น ขอพี่น้องหยุดด่าทอ ไม่มีใครอยากเป็นโควิด-19 เราก็รักประเทศไทย (คลิป) #สาวพม่า #แรงงานสมุทรสาคร #ยกมือไหว้,0
Nattawut Banjongjam เราเคยเม้นแค่ดูแลคนไทยให้ทั่วถึงด้วย แม้งเข้ามาว่าเราไร้มนุษย์ธรรมทั่งๆที่เราไม่เคยด่าพม่าสักคำ คนไทยเดี่ยวนี้แบ่งแยก น่าเกลียดมากด่ากันเองเพราะต่างชาติแค่ความคิดต่าง,0
ยิงทิ้งแม่งเลยดันให้มันกลับเดียวมันก็มากันอีกอย่าปรานีนักเลยคนพม่าเสร้างความเดือดร้อนให้กับประเทศ,1
พม่าฆ่าศึกตีป้อมเมืองแล้ว,1
ชิบหายพม่าจะคองประเทศแล้วมาหนักอีกรอบนะกูอดตายแน่,1
